dataset,doi,journal,search_term,title
dataset-065,10.1016/j.jpubeco.2018.06.003,Journal of Public Economics,Wisconsin Temporary Assistance for Needy Families,Parental responses to child support obligations: Evidence from administrative data
dataset-065,10.1177/0002716216633058,The Annals of the American Academy of Political and Social Science,Wisconsin Temporary Assistance for Needy Families,Families at the Intersection of the Criminal Justice and Child Protective Services Systems
dataset-065,10.1093/swr/svt033,Social Work Research,Wisconsin Temporary Assistance for Needy Families,Implications of Paid Family Leave for Welfare Participants
dataset-065,10.1093/swr/32.2.67,Social Work Research,Wisconsin Temporary Assistance for Needy Families,Keeping Pace with Methodological and Analytical Advances in Social Research
dataset-065,10.1177/0272431606294837,The Journal of Early Adolescence,Wisconsin Temporary Assistance for Needy Families,Sharing the Work
