dataset,doi,journal,search_term,title
dataset-229,10.4324/9780203047767,,Arizona Temporary Assistance for Needy Families,Pressing Issues of Inequality and American Indian Communities
dataset-229,10.1002/ev.28,"{'id': 'jour.1092437', 'title': 'New Directions for Evaluation'}",Arizona Temporary Assistance for Needy Families,Managing the transition to self‐sufficiency: Changing state policies to provide better support to clients leaving welfare
dataset-229,10.1300/j134v02n04_01,"{'id': 'jour.1134101', 'title': 'Journal of Poverty'}",Arizona Temporary Assistance for Needy Families,The Implications of “Welfare Reform„ for American Indian Families and Communities
