title,journal,authors,doi,search_term,dataset,notes,pdf
"Relationship between infiltration, sewer rehabilitation, and groundwater flooding in coastal urban areas.",Environmental science and pollution research international,"Su, Xin, Liu, Ting, Beheshti, Maryam, Prigiobbe, Valentina",10.1007/s11356-019-06513-z,Coastal Flood Frequency,"dataset-614,dataset-770",Different dataset than predicted,https://link.springer.com/content/pdf/10.1007%2Fs11356-019-06513-z.pdf
"Flood protection ecosystem services in the coast of Puerto Rico: Associations between extreme weather, flood hazard mitigation and gastrointestinal illness.",The Science of the total environment,"De Jesus Crespo, R, Wu, J, Myer, M, Yee, S, Fulford, R",10.1016/j.scitotenv.2019.04.287,Coastal Flood Frequency,dataset-623,Different dataset than predicted,https://www.sciencedirect.com/science/article/pii/S0048969719318224/pdfft?md5=fbbbe18ffe1e70ba5146ce84dc44934b&pid=1-s2.0-S0048969719318224-main.pdf
Projected evolution of California's San Francisco Bay-Delta-river system in a century of climate change.,PloS one,"Cloern, James E, Knowles, Noah, Brown, Larry R, Cayan, Daniel, Dettinger, Michael D, Morgan, Tara L, Schoellhamer, David H, Stacey, Mark T, van der Wegen, Mick, Wagner, R Wayne, Jassby, Alan D",10.1371/journal.pone.0024465,Coastal Flood Frequency,"dataset-614,dataset-778",,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0024465&type=printable
Spatial patterns of natural hazards mortality in the United States.,International journal of health geographics,"Borden, Kevin A, Cutter, Susan L",10.1186/1476-072X-7-64,Coastal Flood Frequency,dataset-691,Different dataset than predicted,
