dataset,doi,journal,search_term,title,url,notes,pdf
"dataset-817,dataset-818",10.1016/j.scitotenv.2019.134234,The Science of The Total Environment,NLCD,"Land use regression models for ultrafine particles, fine particles, and black carbon in Southern California",,different datasets than predicted,https://www.sciencedirect.com/science/article/pii/S0048969719342172/pdfft?md5=1f40c9208bc9934ac6d851b5a6630582&pid=1-s2.0-S0048969719342172-main.pdf
dataset-659,10.1016/j.isprsjprs.2019.11.001,ISPRS Journal of Photogrammetry and Remote Sensing,NLCD,Significant effects of ecological context on urban trees’ cooling efficiency,,different datasets than predicted,https://www.sciencedirect.com/science/article/pii/S0924271619302552/pdfft?md5=464282a2c14ba23cf6cbc5546205905a&pid=1-s2.0-S0924271619302552-main.pdf
