title,url,authors,doi,journal,search_term,dataset_id
A 1973–2008 Archive of Climate Surfaces for NW Maghreb,http://hdl.handle.net/10261/134261,"Ruiz Jimeno, Alberto, Sanjuán, María E., Puigdefábregas, Juan, Barrio, G. del",10.3390/data1020008,,Global Historical Climatology Network,dataset-638
Terrestrial ecosystem production: A process model based on global satellite and surface data,http://www.escholarship.org/uc/item/52z028wn,"Potter, Christopher S., Randerson, James T., Field, Christopher B., Matson, Pamela A., Vitousek, Peter M., Mooney, Harold A., Klooster, Steven A.",,,Global Historical Climatology Network,dataset-638
Reanaliza NCEP/NCAR i możliwości jej wykorzystania do badań rozkładu przestrzennego temperatury powietrza w Arktyce i Subarktyce Amerykańskiej,http://repozytorium.umk.pl/handle/item/5152,"Vízi, Zsuzsanna, Przybylak, Rajmund",,,Global Historical Climatology Network,dataset-638
"Reworked Coccoliths as runoff proxy for the last 400 years: The case of Gaeta Gulf (central Tyrrhenian Sea, Central Italy)",http://hdl.handle.net/11367/58128,"Bonomo, S, Cascella, A., Alberico, I., Sorgato, S., Pelosi, N., Ferraro, L., Lirer, F., Vallefuoco, M., Bellucci, L., Agnini, C., Pappone, G.",10.1016/j.palaeo.2016.06.037,,Global Historical Climatology Network,dataset-638
SWAT use of gridded observations for simulating runoff – a Vietnam river basin study,https://www.hydrol-earth-syst-sci.net/16/2801/2012/,"Vu, M. T., Raghavan, S. V., Liong, S. Y.",10.5194/hess-16-2801-2012,Hydrology and Earth System Sciences,Global Historical Climatology Network,dataset-638
The changing shape of Northern Hemisphere summer temperature distributions,http://www.escholarship.org/uc/item/3vq7f0gq,"McKinnon, Karen A, Rhines, Andrew, Tingley, Martin P, Huybers, Peter",10.1002/2016JD025292,,Global Historical Climatology Network,dataset-638
The Mass Elevation Effect of the Central Andes and Its Implications for the Southern Hemisphere's Highest Treeline,http://www.bioone.org/doi/full/10.1659/MRD-JOURNAL-D-15-00027,"Wenhui He, Baiping Zhang, Fang Zhao, Shuo Zhang, Wenwen Qi, Jing Wang, Wenjie Zhang",10.1659/MRD-JOURNAL-D-15-00027,Mountain Research and Development,Global Historical Climatology Network,dataset-638
"Exploring changes in rainfall intensity and seasonal variability in the Southeastern U.S.: Stakeholder engagement, observations, and adaptation",http://www.sciencedirect.com/science/article/pii/S2212096315000054,"Daniel R. Dourte, Clyde W. Fraisse, Wendy-Lin Bartels",10.1016/j.crm.2015.02.001,Climate Risk Management,Global Historical Climatology Network,dataset-638
Climatic variation and runoff from partially-glacierised Himalayan tributary basins of the Ganges,http://usir.salford.ac.uk/38473/13/1-s2.0-S0048969713013028-main.pdf,"Collins, DN, Davenport, JL, Stoffel, M",10.1016/j.scitotenv.2013.10.126,,Global Historical Climatology Network,dataset-638
A Comparison of Multiple Datasets for Monitoring Thermal Time in Urban Areas over the U.S. Upper Midwest,http://www.mdpi.com/2072-4292/8/4/297,"Cole Krehbiel, Geoffrey M. Henebry",10.3390/rs8040297,Remote Sensing,Global Historical Climatology Network,dataset-638
"Evaluation of precipitation estimates over CONUS derived from satellite, radar, and rain gauge data sets at daily to annual scales (2002–2012)",https://www.hydrol-earth-syst-sci.net/19/2037/2015/,"Prat, O. P., Nelson, B. R.",10.5194/hess-19-2037-2015,Hydrology and Earth System Sciences,Global Historical Climatology Network,dataset-638
HadISDH: an updateable land surface specific humidity product for climate monitoring,http://eprints.maynoothuniversity.ie/6483/,"K. M. Willett, C. N. Williams Jr., R. J. H. Dunn, P. W. Thorne, S. Bell, M. de Podesta, P. D. Jones, D. E. Parker",10.5194/cp-9-657-2013,,Global Historical Climatology Network,dataset-638
A new 60-year 1940/1999 monthly-gridded rainfall data set for Africa,http://dx.doi.org/10.3390/w11020387,"Dieulin, Mahé, Paturel, Ejjiyar, Tramblay, Rouché, Mansouri, EL",10.3390/w11020387,,Global Historical Climatology Network,dataset-638
Development of a monthly to seasonal forecast framework tailored to inland waterway transport in central Europe,https://www.hydrol-earth-syst-sci.net/21/6401/2017/,"Meißner, Dennis, Klein, Bastian, Ionita, Monica",10.5194/hess-21-6401-2017,Hydrology and Earth System Sciences,Global Historical Climatology Network,dataset-638
From Diagnosis to Water Management: The role of Atmospheric Dynamics and Climate Variability on Hydrological Extremes,http://dx.doi.org/10.7916/d8t72frw,"Lu, Mengqian",10.7916/d8t72frw,,Global Historical Climatology Network,dataset-638
GIS and geodatabases application to global scale plate tectonics modelling,http://dx.doi.org/10.22005/bcu.15809,"Hochard, Cyril",10.22005/bcu.15809,,Global Historical Climatology Network,dataset-638
