title,doi,url,pdf,dataset
HOW MARGINAL TAX RATES AFFECT FAMILIES AT VARIOUS LEVELS OF POVERTY ,,,https://www.taxpolicycenter.org/sites/default/files/alfresco/publication-pdfs/412722-How-Marginal-Tax-Rates-Affect-Families-at-Various-Levels-of-Poverty.PDF,"dataset-071, dataset-026, dataset-672"
The Dynamics of Women Disconnected from Employment and Welfare ,10.1086/665735,https://www.journals.uchicago.edu/doi/10.1086/665735,,dataset-109
Improving 24-Month Abstinence and Employment Outcomes for Substance-Dependent Women Receiving Temporary Assistance for Needy Families With Intensive Case Management ,10.2105/AJPH.2007.133553,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2622781/,,dataset-109
