author,year,publication and journal,dataset,datadrop origin,title,doi,url,valid
"Board_on_Human_Resource_Data_and_Analysis, N. R. C. ",1978,"A Century of Doctorates: Data Analyses of Growth and Change : U.S. PhD's-- Their Numbers, Origins, Characteristics, and the Institutions from which They Come L. R. Harmon. National Academy of Sciences.",dataset-370,EndNote SED library 11/7/2017,,,,
"National_Science_ Foundation, D. f. c., _Technological_and_International_Affairs ",1984,"A Guide to NSF Science/Engineering Resources Data, NSF.",dataset-370,EndNote SED library 11/7/2017,,,,
"Baker, B. D., M. T. Orr and M. D. Young ",2016,"""Academic Drift, Institutional Production, and Professional Distribution of Graduate Degrees in Educational Leadership."" Educational Administration Quarterly 43(3): 279-318.",dataset-370,EndNote SED library 11/7/2017,,,,
"Leslie, D. W. ",2007,"Accounting Faculty in U.S. Colleges and Universities: Status and Trends, 1993 Ð 2004. Advisory Committee on the Auditing Profession, Department of the Treasury. Washington, DC.",dataset-370,EndNote SED library 11/7/2017,,,,
"Frasier, H. S. ",2013,"An Analysis of Institutional Characteristics that Contribute to Extended Time to Doctoral Degree. PhD, University of Maryland.",dataset-370,EndNote SED library 11/7/2017,,,,
