author,year,publication and journal,dataset,datadrop origin,title,doi,url,valid,pdf,note
National Research Council; Commission on Human Resources; Board on Human-Resource Data and Analyses; Lindsey R. Harmon,1978,"A Century of Doctorates: Data Analyses of Growth and Change : U.S. PhD's-- Their Numbers, Origins, Characteristics, and the Institutions from which They Come L. R. Harmon. National Academy of Sciences.",dataset-370,EndNote SED library 11/7/2017,"A Century of Doctorates: Data Analyses of Growth and Change : U.S. PhD's-- Their Numbers, Origins, Characteristics, and the Institutions from which They Come",10.17226/18650,https://www.nap.edu/catalog/18650/century-of-doctorates-data-analyses-of-growth-and-change-us,1,,Doctorate Records File (DRF)
"National_Science_ Foundation, D. f. c., _Technological_and_International_Affairs ",1984,"A Guide to NSF Science/Engineering Resources Data, NSF.",dataset-370,EndNote SED library 11/7/2017,A Guide to NSF Science/Engineering Resources Data,,https://archive.org/details/ERIC_ED244789/page/n1/mode/2up,0,https://ia802705.us.archive.org/11/items/ERIC_ED244789/ERIC_ED244789.pdf,"this report describes a lot of surveys, purpuses, background and instrument (the survey itself) along with a contact information to require data access"
"Baker, B. D., M. T. Orr and M. D. Young ",2016,"""Academic Drift, Institutional Production, and Professional Distribution of Graduate Degrees in Educational Leadership."" Educational Administration Quarterly 43(3): 279-318.","dataset-370, dataset-493, dataset-593, dataset-592, dataset-118",EndNote SED library 11/7/2017,"Academic Drift, Institutional Production, and Professional Distribution of Graduate Degrees in Educational Leadership ",10.1177/0013161X07303320,https://journals.sagepub.com/doi/10.1177/0013161X07303320?icid=int.sj-abstract.similar-articles.3,1,https://journals-sagepub-com.proxy.library.nyu.edu/doi/pdf/10.1177/0013161X07303320,The original file from NCSES cites this as published in 2016. I found it published in 2007 (all the rest of the publication data matches including volumen 43 and pages 279-318)
"Leslie, D. W. ",2007,"Accounting Faculty in U.S. Colleges and Universities: Status and Trends, 1993 – 2004. Advisory Committee on the Auditing Profession, Department of the Treasury. Washington, DC.","dataset-370, dataset-941, dataset-493, dataset-487",EndNote SED library 11/7/2017,"Accounting Faculty in U.S. Colleges and Universities: Status and Trends, 1993 - 2004",,https://www.treasury.gov/about/organizational-structure/offices/Documents/Leslie120307.pdf,1,https://www.treasury.gov/about/organizational-structure/offices/Documents/Leslie120307.pdf,
"Frasier, H. S. ",2013,"An Analysis of Institutional Characteristics that Contribute to Extended Time to Doctoral Degree. PhD, University of Maryland.","dataset-370, dataset-908",EndNote SED library 11/7/2017,An Analysis of Institutional Characteristics that Contribute to Extended Time to Doctoral Degree,,https://www.semanticscholar.org/paper/An-Analysis-of-Institutional-Characteristics-that-Frasier/62a75ea94b23537e580e9e3877240a17a12fca9c#paper-header,1,https://drum.lib.umd.edu/bitstream/handle/1903/14911/Frasier_umd_0117E_14734.pdf?isAllowed=y&sequence=1,It’s a PhD disertation
