title,journal,url,authors,doi,search_term,dataset,pdf
Tidal Datum Changes Induced by Morphological Changes of North Carolina Coastal Inlets,Journal of Marine Science and Engineering,http://www.mdpi.com/2077-1312/4/4/79,"Jindong Wang, Edward Myers",10.3390/jmse4040079,Tidal Datum,"dataset-614,dataset-714",https://www.mdpi.com/2077-1312/4/4/79/pdf
Tidal Datums with Spatially Varying Uncertainty in North-East Gulf of Mexico for VDatum Application,Journal of Marine Science and Engineering,http://www.mdpi.com/2077-1312/6/4/114,"Liujuan Tang, Edward Myers, Lei Shi, Kurt Hess, Alison Carisio, Michael Michalski, Stephen White, Cuong Hoang",10.3390/jmse6040114,Tidal Datum,"dataset-614,dataset-813,dataset-814",https://www.mdpi.com/2077-1312/6/4/114/pdf
Modeling Tidal Datums and Spatially Varying Uncertainty in the Texas and Western Louisiana Coastal Waters,Journal of Marine Science and Engineering,https://www.mdpi.com/2077-1312/7/2/44,"Wei Wu, Edward Myers, Lei Shi, Kurt Hess, Michael Michalski, Stephen White",10.3390/jmse7020044,Tidal Datum,"dataset-614,dataset-631,dataset-815",https://www.mdpi.com/2077-1312/7/2/44/pdf
A comparison of datums derived from CO-OPS verified data products and Tidal Analysis Datum Calculator.,,http://dx.doi.org/10.7289/v5/tr-nos-coops-085,"Licate, Louis A., Huang, Lijuan, Dusek, Greg",10.7289/v5/tr-nos-coops-085,Tidal Datum,dataset-614,
Development and Use of Tide Models in Alaska Supporting VDatum and Hydrographic Surveying,Journal of Marine Science and Engineering,http://www.mdpi.com/2077-1312/2/1/171,"Shi, Lei, Wang, Jindong, Myers, Edward, Huang, Lijuan",10.3390/jmse2010171,Tidal Datum,"dataset-614,dataset-631",https://www.mdpi.com/2077-1312/2/1/171/pdf
Statistical Interpolation of Tidal Datums and Computation of Its Associated Spatially Varying Uncertainty,Journal of Marine Science and Engineering,http://www.mdpi.com/2077-1312/4/4/64,"Lei Shi, Edward Myers",10.3390/jmse4040064,Tidal Datum,dataset-614,https://www.mdpi.com/2077-1312/4/4/64/pdf
Adding to the toolbox for tidal-inundation mapping in estuarine areas,,https://europepmc.org/articles/PMC6416087/,"Flitcroft, Rebecca, Clinton, Patrick, Christiansen, Kelly",10.1007/s11852-018-0605-1,Tidal Datum,"dataset-614,dataset-756",https://link.springer.com/content/pdf/10.1007/s11852-018-0605-1.pdf
"Improvements for the Western North Atlantic, Caribbean and Gulf of Mexico ADCIRC Tidal Database (EC2015)",Journal of Marine Science and Engineering,http://www.mdpi.com/2077-1312/4/4/72,"Christine Szpilka, Kendra Dresback, Randall Kolar, Jesse Feyen, Jindong Wang",10.3390/jmse4040072,Tidal Datum,"dataset-614,dataset-816",https://www.mdpi.com/2077-1312/4/4/72/pdf
