title,journal,authors,doi,search_term,dataset_id,valid?,notes,pdf
"The Marine Boundary Layer Height over the Western North Pacific Based on GPS Radio Occultation, Island Soundings, and Numerical Models.",Sensors,"Chien, Fang-Ching, Hong, Jing-Shan, Kuo, Ying-Hwa",10.3390/s19010155,Global Forecast System,dataset-620,Yes,,https://www.mdpi.com/1424-8220/19/1/155/pdf
Increasing vertical resolution in US models to improve track forecasts of Hurricane Joaquin with HWRF as an example.,Proceedings of the National Academy of Sciences of the United States of America,"Zhang, Banglin, Lindzen, Richard S, Tallapragada, Vijay, Weng, Fuzhong, Liu, Qingfu, Sippel, Jason A, Ma, Zaizhong, Bender, Morris A",10.1073/pnas.1613800113,Global Forecast System,dataset-620,Yes,,https://www.pnas.org/content/pnas/113/42/11765.full.pdf
Human-model hybrid Korean air quality forecasting system.,Journal of the Air & Waste Management Association (1995),"Chang, Lim-Seok, Cho, Ara, Park, Hyunju, Nam, Kipyo, Kim, Deokrae, Hong, Ji-Hyoung, Song, Chang-Keun",10.1080/10962247.2016.1206995,Global Forecast System,dataset-620,Yes,,https://www.tandfonline.com/doi/pdf/10.1080/10962247.2016.1206995?needAccess=true
Modeling of long range transport pathways for radionuclides to Korea during the Fukushima Dai-ichi nuclear accident and their association with meteorological circulations.,Journal of environmental radioactivity,"Lee, Kwan-Hee, Kim, Ki-Hyun, Lee, Jin-Hong, Yun, Ju-Yong, Kim, Cheol-Hee",10.1016/j.jenvrad.2015.06.007,Global Forecast System,dataset-620,Yes,,https://www.sciencedirect.com/science/article/pii/S0265931X15300205/pdfft?md5=a1ad8ae055407c2a5780f3c63ada3146&pid=1-s2.0-S0265931X15300205-main.pdf
