title,url,authors,doi,journal,search_term,dataset,notes,pdf
SMC-Flood database: a high-resolution press database on flood cases for the Spanish Mediterranean coast (1960-2015),https://www.nat-hazards-earth-syst-sci.net/19/1955/2019/,"Gil-Guirado, Salvador, Pérez Morales, Alfredo, López Martínez, Francisco",10.5194/nhess-19-1955-2019,Natural Hazards and Earth System Sciences,Coastal Flood Frequency,dataset-691,different dataset than intended,https://www.nat-hazards-earth-syst-sci.net/19/1955/2019/nhess-19-1955-2019.pdf
Spatial Analysis of High-Resolution Radar Rainfall and Citizen-Reported Flash Flood Data in Ultra-Urban New York City,https://www.mdpi.com/2073-4441/9/10/736,"Brianne Smith, Stephanie Rodriguez",10.3390/w9100736,Water,Coastal Flood Frequency,dataset-691,different dataset than intended,https://www.mdpi.com/2073-4441/9/10/736/pdf
Nuisance Flooding and Relative Sea-Level Rise: the Importance of Present-Day Land Motion,http://europepmc.org/articles/PMC5593944,"Karegar, Makan A., Dixon, Timothy H., Malservisi, Rocco, Kusche, Jürgen, Engelhart, Simon E.",10.1038/s41598-017-11544-y,Scientific Reports,Coastal Flood Frequency,dataset-614,different dataset than intended,https://www.nature.com/articles/s41598-017-11544-y.pdf
Increased nuisance flooding along the coasts of the United States due to sea level rise: Past and future,http://www.escholarship.org/uc/item/6sk2w9t1,"Moftakhari, HR, Aghakouchak, A, Sanders, BF, Feldman, DL, Sweet, W, Matthew, RA, Luke, A",10.1002/2015GL066072,Geographical Research Letters,Coastal Flood Frequency,dataset-614,different dataset than intended,https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1002/2015GL066072
