dataset,doi,journal,search_term,title,notes
dataset-428,10.18356/5abe4faa-en,National Accounts Statistics: Main Aggregates and Detailed Tables 2018 (Five-volume Set),Higher Education Research and Development Survey,United States of America,
dataset-428,10.1016/j.jpubeco.2019.104066,Journal of Public Economics,Higher Education Research and Development Survey,The impact of money on science: Evidence from unexpected NCAA football outcomes,
dataset-428,10.1037/mgr0000089,The Psychologist-Manager Journal,Higher Education Research and Development Survey,Approaching change in a challenging environment: Applying implementation science to academic administration.,
dataset-428,10.1007/s11192-018-2992-3,Scientometrics,Higher Education Research and Development Survey,Universities’ structural commitment to interdisciplinary research,
dataset-428,10.1007/978-3-030-02447-5,"Behavior, Engagement, and Ethics",Higher Education Research and Development Survey,Corporate Citizenship and Higher Education,book
dataset-428,10.1787/9789264307391-5-en,Pharmaceutical Innovation and Access to Medicines,Higher Education Research and Development Survey,Discovering and selling medicines,
dataset-428,10.1016/j.joi.2018.09.001,Journal of Informetrics,Higher Education Research and Development Survey,A comparison of two approaches for measuring interdisciplinary research output: The disciplinary diversity of authors vs the disciplinary diversity of the reference list,
dataset-428,10.18356/39d55751-en,National Accounts Statistics: Main Aggregates and Detailed Tables 2017 (Five-volume Set),Higher Education Research and Development Survey,United States of America,
dataset-428,10.1080/00221546.2018.1435134,The Journal of Higher Education,Higher Education Research and Development Survey,First-Generation Students in Pursuit of the PhD: Comparing Socialization Experiences and Outcomes to Continuing-Generation Peers,
dataset-428,10.1108/sgpe-d-17-00044,Studies in Graduate and Postdoctoral Education,Higher Education Research and Development Survey,"Doctoral student funding portfolios across and within engineering, life sciences and physical sciences",
dataset-428,10.1080/2330443x.2018.1442271,Statistics and Public Policy,Higher Education Research and Development Survey,Examining the Carnegie Classification Methodology for Research Universities,
dataset-428,10.1016/j.acra.2017.07.013,Academic Radiology,Higher Education Research and Development Survey,Radiology Research Funding Current State and Future Opportunities,
dataset-428,10.1007/978-3-319-71162-1,Knowledge Studies in Higher Education,Higher Education Research and Development Survey,Building Capacity in Institutional Research and Decision Support in Higher Education,book
dataset-428,10.1007/978-3-319-68984-5_9,Risk and Resilience in Military and Veteran Families,Higher Education Research and Development Survey,The Higher Education Community: Educating America’s Next Great Generation,book
dataset-428,10.1007/978-3-319-68984-5,Risk and Resilience in Military and Veteran Families,Higher Education Research and Development Survey,"A Battle Plan for Supporting Military Families, Lessons for the Leaders of Tomorrow",book
