title,journal,authors,doi,search_term,dataset,pdf
Mapping Europe into local climate zones.,PloS one,"Demuzere, Matthias, Bechtel, Benjamin, Middel, Ariane, Mills, Gerald",10.1371/journal.pone.0214474,Integrated Surface Database,"dataset-621,dataset-678,dataset-801",https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0214474&type=printable
Calibration and evaluation of PUF-PAS sampling rates across the Global Atmospheric Passive Sampling (GAPS) network.,Environmental science. Processes & impacts,"Herkert, Nicholas J, Spak, Scott N, Smith, Austen, Schuster, Jasmin K, Harner, Tom, Martinez, Andres, Hornbuckle, Keri C",10.1039/c7em00360a,Integrated Surface Database,"dataset-621,dataset-800",https://pubs.rsc.org/en/content/articlepdf/2018/em/c7em00360a
A Model Using Local Weather Data to Determine the Effective Sampling Volume for PCB Congeners Collected on Passive Air Samplers.,Environmental science & technology,"Herkert, Nicholas J, Martinez, Andres, Hornbuckle, Keri C",10.1021/acs.est.6b00319,Integrated Surface Database,dataset-621,https://pubs.acs.org/doi/pdf/10.1021/acs.est.6b00319
