title,journal,url,authors,open,search_term,dataset_id
Building a multi-scaled geospatial temporal ecology database from disparate data sources: fostering open science and data reuse,GigaScience,http://europepmc.org/articles/PMC4488039,"Soranno, Patricia A., Bissell, Edward G., Cheruvelil, Kendra S., Christel, Samuel T., Collins, Sarah M., Fergus, C. Emi, Filstrup, Christopher T., Lapierre, Jean-Francois, Lottig, Noah R., Oliver, Samantha K., Scott, Caren E., Smith, Nicole J., Stopyak, Scott, Yuan, Shuai, Bremigan, Mary Tate, Downing, John A., Gries, Corinna, Henry, Emily N., Skaff, Nick K., Stanley, Emily H., Stow, Craig A., Tan, Pang-Ning, Wagner, Tyler, Webster, Katherine E.",True,Integrated Surface Database,dataset-621
MEGADOCK-Web: an integrated database of high-throughput structure-based protein-protein interaction predictions,BMC Bioinformatics,http://dx.doi.org/10.1371/journal.pone.0009598,"Takanori Hayashi, Yuri Matsuzaki, Keisuke Yanagisawa, Masahito Ohue, Yutaka Akiyama",True,Integrated Surface Database,dataset-621
Various Occurrence Mechanisms of Large Acceleration over 20 m/s2 and Its Suitability in Design Use,Frontiers in Built Environment,http://journal.frontiersin.org/article/10.3389/fbuil.2018.00003/full,"Shuichi Kamagata, Izuru Takewaki",True,Integrated Surface Database,dataset-621
DETECTION OF LOCAL SITE CONDITIONS INFLUENCING EARTHQUAKE SHOCK AND SECONDARY EFFECTS IN THE VALPARAISO AREA IN CENTRAL-CHILE USING REMOTE SENSING AND GIS METHODS,Science of Tsunami Hazards,http://tsunamisociety.org/303WilligeBurnettC.pdf,"Barbara Theilen-Willige, Felipe Barrios Burnett",True,Integrated Surface Database,dataset-621
Identification and characterization of science-rich landing sites for lunar lander missions using integrated remote sensing observations,,https://hal.archives-ouvertes.fr/hal-00830048,"Flahaut, Jessica, Blanchette-Guertin, J.-F., Jilly, C., Sharma, P., Souchon, Audrey, Van Westrenen, Wim, Kring, D.A.",True,Integrated Surface Database,dataset-621
A reduced estimate of the strength of the ocean's biological carbon pump,,http://oceanrep.geomar.de/26326/,"Henson, Stephanie A., Sanders, Richard, Madsen, Esben, Morris, Paul J., Le Moigne, Frederic A. C., Quartly, Graham D.",True,Integrated Surface Database,dataset-621
Gerontome: a web-based database server for aging-related genes and analysis pipelines,BMC Genomics,http://dx.doi.org/10.1371/journal.pgen.1000414,"Kwon, Jekeun, Lee, Byungwook, Chung, Haeyoung",True,Integrated Surface Database,dataset-621
Palomar/Las Campanas Imaging Atlas of Blue Compact Dwarf galaxies: I. Images and integrated photometry,,http://eprints.ucm.es/36039/,"Gil de Paz, Armando, Madore, B. F., Pevunova, O.",True,Integrated Surface Database,dataset-621
General Approach to Identifying Potential Targets for Cancer Imaging by Integrated Bioinformatics Analysis of Publicly Available Genomic Profiles,Molecular Imaging,https://doi.org/10.2310/7290.2010.00024,"Yongliang Yang, S. James Adelstein, Amin I. Kassis",True,Integrated Surface Database,dataset-621
Integrated approach on heat transfer and inactivation kinetics of microorganisms on the surface of foods during heat treatments: Software development,,http://hdl.handle.net/10400.14/3355,"Gil, Maria M., Pereira, Pedro M., Brandão, Teresa R. S., Silva, Cristina L.M., Kondjoyan, Alain, Valdramidis, Vassilis P., Geeraerd, Annemie H., Impe, Jan F.M. Van, James, Steve",True,Integrated Surface Database,dataset-621
"Surface and subsurface data integration and geological modelling from the Little Ice Age to the present, in the Ravenna coastal plain, northwest Adriatic Sea (Emilia-Romagna, Italy)",,http://hdl.handle.net/11585/648634,"Scarelli, Frederico M., Barboza, Eduardo G., Cantelli, Luigi, Gabbianelli, Giovanni",False,Integrated Surface Database,dataset-621
Full dimensional potential energy surface for the ground state of H 4 + system based on triatomic-in-molecules formalism,The Journal of Chemical Physics,http://hdl.handle.net/10261/89516,"Sanz-Sanz, Cristina, Roncero, Octavio, Paniagua, Miguel, Aguado, Alfredo",True,Integrated Surface Database,dataset-621
Dry deposition parameterization of sulfur oxides in a chemistry and general circulation,,http://library.wur.nl/WebQuery/wurpubs/381420,"Ganzeveld, L.N., Lelieveld, J., Roelofs, G.J.",True,Integrated Surface Database,dataset-621
GRIS: glycoprotein-hormone receptor information system,,http://hdl.handle.net/2066/35801,"Durme, J.J. van, Horn, F., Costagliola, S., Vriend, G., Vassart, G.",True,Integrated Surface Database,dataset-621
Compiling multiproxy quantitative hydrographic data from Holocene marine archives in the North Atlantic: A way to decipher oceanic and climatic dynamics and natural modes?,,https://hal.archives-ouvertes.fr/hal-02092654,"Eynaud, Frédérique, Mary, Yannick, Zumaque, Jena, Wary, Mélanie, Gasparotto, Marie-Camille, Swingedouw, Didier, Colin, Christophe",True,Integrated Surface Database,dataset-621
Fusion of geometric and texture features for finger knuckle surface recognition,Alexandria Engineering Journal,http://dx.doi.org/10.1016/j.aej.2015.10.003,"Usha, K., Ezhilarasan, M.",True,Integrated Surface Database,dataset-621
Characterization of Energy Flux Partitioning in Urban Environments: Links with Surface Seasonal Properties,JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY,http://centaur.reading.ac.uk/33533/1/jamc-d-11-038.1.pdf,"Loridan, Thomas, Grimmond, C. S. B.",True,Integrated Surface Database,dataset-621
An Improved Single-Channel Method to Retrieve Land Surface Temperature from the Landsat-8 Thermal Band,Remote Sensing,http://www.mdpi.com/2072-4292/10/3/431,"Jordi Cristóbal, Juan C. Jiménez-Muñoz, Anupma Prakash, Cristian Mattar, Dražen Skoković, José A. Sobrino",True,Integrated Surface Database,dataset-621
INTEGRATED USE OF GEOELECTRICAL IMAGING AND GEOCHEMICAL ANALYSIS IN THE ENVIRONMENTAL IMPACT ASSESSMENT OF EGBE DUMPSITE IN IJEBU-IGBO AREA/ SOUTH WESTERN NIGERIA,,https://zenodo.org/record/824273,"S.O. Ariyo, E.M. Enikanoselu",True,Integrated Surface Database,dataset-621
