title,journal,authors,doi,search_term,dataset,notes,pdf
Adding to the toolbox for tidal-inundation mapping in estuarine areas.,Journal of coastal conservation,"Flitcroft, Rebecca, Clinton, Patrick, Christiansen, Kelly",10.1007/s11852-018-0605-1,Tidal Datum,"dataset-610,dataset-614",,https://link.springer.com/content/pdf/10.1007/s11852-018-0605-1.pdf
"High temporal resolution modeling of the impact of rain, tides, and sea level rise on water table flooding in the Arch Creek basin, Miami-Dade County Florida USA.",The Science of the total environment,"Sukop, Michael C, Rogers, Martina, Guannel, Greg, Infanti, Johnna M, Hagemann, Katherine",10.1016/j.scitotenv.2017.10.170,Tidal Datum,dataset-703,matched different dataset,https://www.sciencedirect.com/science/article/pii/S0048969717328814/pdfft?md5=73e5ac0c6974e7899049ecc0b84013bf&pid=1-s2.0-S0048969717328814-main.pdf
Upslope development of a tidal marsh as a function of upland land use.,Global change biology,"Anisfeld, Shimon C, Cooper, Katharine R, Kemp, Andrew C",10.1111/gcb.13398,Tidal Datum,dataset-614,,https://onlinelibrary.wiley.com/doi/epdf/10.1111/gcb.13398
